"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros","+/-","3PTM","FTM","FT-","PTS","OREB","DREB","AST","ST","BLK","TO","PF","TF","2DO","3D"
"*05uus*","Austin Reaves","LAL","G,F,Flx","1","OLS","27","","366.5","73.3","100%","0%","3.0","10.4","1.2","34.2","0.4","5.2","10.0","1.8","0.0","3.8","2.0","0.00","0.6","0.0"
"*06cch*","Victor Wembanyama","SA","C,Flx","2","BLIZZ","21","MIA Thu 9:30PM","342","85.5","100%","0%","1.0","8.0","2.0","31.0","1.8","12.0","2.8","1.5","4.8","1.5","3.5","0.00","1.0","0.0"
"*04qro*","Shai Gilgeous-Alexander","OKC","G,Flx","3","VITAO","27","WAS Thu 9:00PM","336.5","67.3","100%","0%","1.4","8.2","1.4","34.8","0.2","6.0","5.4","1.4","1.4","2.4","2.0","0.00","0.0","0.0"
"*031m2*","Giannis Antetokounmpo","MIL","F,C,Flx","4","AQUA","30","GS Thu 9:00PM","308","77","100%","0%","1.0","6.8","3.8","36.3","4.0","10.0","7.0","0.8","1.3","3.3","2.5","0.00","0.8","0.0"
"*05qsq*","Tyrese Maxey","PHI","G,Flx","5","ANT","24","","304","76","100%","0%","4.5","10.0","1.5","37.5","0.3","3.5","8.3","1.0","0.8","2.0","3.0","0.25","0.3","0.0"
"*01enh*","Stephen Curry","GS","G,Flx","6","VIVA","37","@MIL Thu 9:00PM","294","58.8","99%","-0.1%","4.4","5.0","0.0","27.0","0.2","3.6","5.0","1.8","0.8","2.2","1.6","0.00","0.0","0.0"
"*03e75*","Nikola Jokic","DEN","C,Flx","7","Otako","30","","292.5","73.12","100%","0%","0.8","3.5","0.3","20.3","2.5","12.0","11.3","2.0","0.5","3.0","3.5","0.00","0.0","1.0"
"*03ajv*","Julius Randle","MIN","F,Flx","8","Otako","30","","278","55.6","100%","0%","2.6","6.0","1.4","26.6","1.0","5.4","5.4","1.2","0.4","2.2","2.2","0.00","0.0","0.0"
"*04azw*","Lauri Markkanen","UTA","F,Flx","9","SFC","28","","277","69.25","99%","+0.3%","4.0","8.0","0.8","34.0","2.3","5.0","2.8","0.8","0.8","1.0","1.3","0.00","0.3","0.0"
"*05uid*","Evan Mobley","CLE","F,C,Flx","10","SAN","24","","271.5","54.3","100%","0%","1.8","4.6","1.8","18.4","2.0","7.2","4.6","1.6","2.0","2.6","2.6","0.00","0.4","0.0"
"*05qto*","LaMelo Ball","CHA","G,Flx","11","Otako","24","ORL Thu 8:00PM","259.5","64.88","100%","0%","4.3","5.0","1.3","26.3","1.8","6.5","9.5","1.8","0.3","4.0","3.8","0.25","0.3","0.3"
"*02nf1*","Anthony Davis","DAL","F,C,Flx","12","VIVA","32","","252","50.4","100%","0%","0.6","4.6","1.6","20.8","3.4","6.8","2.2","1.6","1.2","2.2","2.6","0.00","0.8","0.0"
"*042nm*","Pascal Siakam","IND","F,Flx","13","KOW","31","","246","61.5","99%","+0.1%","2.5","5.3","4.3","26.3","2.0","9.0","5.3","1.5","0.3","2.0","3.0","0.00","0.8","0.0"
"*06210*","Paolo Banchero","ORL","F,Flx","14","KOW","22","@CHA Thu 8:00PM","245.5","49.1","100%","0%","0.6","8.4","2.8","23.0","1.2","7.8","3.0","0.6","1.4","2.8","2.4","0.20","0.6","0.0"
"*05uiq*","Alperen Sengun","HOU","F,C,Flx","15","KNTC","23","","243.5","60.88","100%","0%","2.0","6.8","1.8","23.8","2.3","5.8","7.3","2.0","0.8","3.0","2.8","0.00","0.3","0.0"
"*05uib*","Cade Cunningham","DET","G,Flx","17","PERDI","24","","235.5","47.1","100%","0%","1.6","5.4","1.2","22.2","1.2","4.4","8.2","0.8","1.2","4.4","3.6","0.20","0.4","0.0"
"*03nwm*","Devin Booker","PHO","G,F,Flx","16","MEME","28","","235.5","47.1","99%","0%","2.6","8.2","1.8","29.2","1.6","2.4","6.0","0.4","0.4","4.6","2.8","0.20","0.2","0.0"
"*027pe*","Jimmy Butler","GS","F,Flx","18","MÃE","36","@MIL Thu 9:00PM","234","46.8","98%","-0.1%","1.6","7.4","1.0","21.4","1.6","3.0","4.8","1.0","0.0","1.6","1.2","0.00","0.0","0.0"
"*05uie*","Scottie Barnes","TOR","F,Flx","19","RATS","24","","232.5","46.5","100%","0%","2.2","3.2","0.8","22.2","1.2","4.8","4.4","1.4","0.8","2.2","3.8","0.00","0.2","0.0"
"*01eo9*","Jrue Holiday","POR","G,Flx","20","FAV","35","","232","46.4","97%","+1%","2.6","2.2","0.4","19.6","1.2","4.2","7.8","1.4","0.4","3.2","2.6","0.00","0.2","0.0"
"*04qsa*","Jalen Brunson","NY","G,Flx","21","KOW","29","","227","56.75","100%","0%","2.5","7.8","1.0","31.8","0.5","3.5","5.0","1.3","0.0","2.0","2.5","0.00","0.0","0.0"
"*04ewt*","Derrick White","BOS","G,Flx","22","ANT","31","","223","44.6","100%","-0.1%","2.8","3.0","0.2","17.0","0.6","3.2","4.4","1.4","1.0","1.0","2.0","0.20","0.0","0.0"
"*051oi*","Ja Morant","MEM","G,Flx","23","Otako","26","","222.5","44.5","99%","0%","1.0","6.4","0.2","23.4","0.4","3.4","6.6","1.0","0.0","2.8","1.6","0.20","0.0","0.0"
"*04ewe*","Donovan Mitchell","CLE","G,Flx","24","LUK","29","","221.5","44.3","100%","0%","3.2","5.2","1.8","28.0","0.0","2.4","4.4","1.2","0.4","3.8","1.8","0.00","0.0","0.0"
"*05qtj*","Deni Avdija","POR","G,F,Flx","25","OLS","24","","214","42.8","100%","0%","2.4","5.0","1.2","22.6","1.2","5.2","4.2","0.6","1.0","3.8","2.6","0.00","0.0","0.0"
